INFO  - 2020-09-12 12:17:27.222; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2020-09-12 12:17:27.259; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/contexts at interval 0
INFO  - 2020-09-12 12:17:27.270; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2020-09-12 12:17:27.336; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/webapps/solr.war!/ to /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2020-09-12 12:17:28.844; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2020-09-12 12:17:28.937; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2020-09-12 12:17:28.955; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2020-09-12 12:17:28.955; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2020-09-12 12:17:28.956; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2020-09-12 12:17:29.131; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/solr.xml
INFO  - 2020-09-12 12:17:29.281; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr
INFO  - 2020-09-12 12:17:29.291; org.apache.solr.core.CoreContainer; New CoreContainer 245765246
INFO  - 2020-09-12 12:17:29.291; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2020-09-12 12:17:29.308; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2020-09-12 12:17:29.308; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2020-09-12 12:17:29.312; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2020-09-12 12:17:29.315; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2020-09-12 12:17:29.315; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2020-09-12 12:17:29.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2020-09-12 12:17:29.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2020-09-12 12:17:29.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2020-09-12 12:17:29.317; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2020-09-12 12:17:29.317; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2020-09-12 12:17:29.520; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2020-09-12 12:17:29.523; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2020-09-12 12:17:29.525; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2020-09-12 12:17:29.526; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2020-09-12 12:17:29.573; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr
INFO  - 2020-09-12 12:17:29.585; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/
INFO  - 2020-09-12 12:17:29.586; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2020-09-12 12:17:29.588; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/'
INFO  - 2020-09-12 12:17:29.669; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2020-09-12 12:17:29.671; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2020-09-12 12:17:29.671; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2020-09-12 12:17:29.671; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.672; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2020-09-12 12:17:29.672; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2020-09-12 12:17:29.672; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.672; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2020-09-12 12:17:29.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.674; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.674; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.674; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.675; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.675; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2020-09-12 12:17:29.675; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.675; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2020-09-12 12:17:29.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
